Event ID,Outage Start,YEAR,MONTH,Season,State,Postal Code,Climate Region,NERC Region,Climate Category,Cause Category,Cause Detail,Duration Minutes,Duration Hours,Duration Bucket,Customers Affected,Urban Population Density,Outage Count
95,2005-11-06 07:30:00,2005,11,Fall,Michigan,MI,East North Central,ECAR,Cold,Severe Weather,Thunderstorm,8160.0,136.0,More than 3 days,118000.0,2034.1,1
52,2005-11-12 16:00:00,2005,11,Fall,Wisconsin,WI,East North Central,RFC,Cold,Severe Weather,Thunderstorm,3000.0,50.0,1 to 3 days,48000.0,2123.3,1
154,2005-11-12 23:00:00,2005,11,Fall,Michigan,MI,East North Central,ECAR,Cold,Severe Weather,Thunderstorm,2939.0,48.983333333333334,1 to 3 days,272355.0,2034.1,1
1381,2005-12-15 05:05:00,2005,12,Winter,Georgia,GA,Southeast,SERC,Cold,Severe Weather,Winter Storm,1865.0,31.083333333333332,1 to 3 days,52659.0,1516.0,1
1202,2005-12-31 06:00:00,2005,12,Winter,California,CA,West,WECC,Cold,Severe Weather,Storm,8100.0,135.0,More than 3 days,1667316.0,4303.7,1
593,2006-01-14 15:45:00,2006,1,Winter,Pennsylvania,PA,Northeast,RFC,Cold,Severe Weather,Heavy Wind,2985.0,49.75,1 to 3 days,142315.0,2123.4,1
1460,2006-01-18 15:16:00,2006,1,Winter,Maine,ME,Northeast,NPCC,Cold,Severe Weather,Storm,198.0,3.3,Under 1 day,63000.0,1428.0,1
477,2006-02-04 01:34:00,2006,2,Winter,Washington,WA,Northwest,WECC,Cold,Severe Weather,Heavy Wind,3507.0,58.45,1 to 3 days,123827.0,2380.0,1
430,2006-02-04 04:30:00,2006,2,Winter,Washington,WA,Northwest,WECC,Cold,Severe Weather,Heavy Wind,6690.0,111.5,More than 3 days,140000.0,2380.0,1
525,2006-02-11 21:00:00,2006,2,Winter,Maryland,MD,Northeast,RFC,Cold,Severe Weather,Winter Storm,4440.0,74.0,More than 3 days,180000.0,2511.4,1
522,2006-02-12 00:06:00,2006,2,Winter,Maryland,MD,Northeast,RFC,Cold,Severe Weather,Winter Storm,3938.0,65.63333333333334,1 to 3 days,60000.0,2511.4,1
789,2006-02-12 02:00:00,2006,2,Winter,New Jersey,NJ,Northeast,RFC,Cold,Severe Weather,Winter Storm,3720.0,62.0,1 to 3 days,130000.0,2851.2,1
1345,2006-02-12 05:55:00,2006,2,Winter,Virginia,VA,Southeast,RFC,Cold,Severe Weather,Winter Storm,485.0,8.083333333333334,Under 1 day,126000.0,2265.2,1
117,2006-02-16 12:00:00,2006,2,Winter,Michigan,MI,East North Central,RFC,Cold,Severe Weather,Winter Storm,6420.0,107.0,More than 3 days,252089.0,2034.1,1
963,2006-02-17 04:32:00,2006,2,Winter,New York,NY,Northeast,NPCC,Cold,Severe Weather,,448.0,7.466666666666667,Under 1 day,200000.0,4161.4,1
1502,2006-02-18 08:50:00,2006,2,Winter,Colorado,CO,Southwest,WECC,Cold,System Operability Disruption,,439.0,7.316666666666666,Under 1 day,,2836.1,1
1141,2006-02-27 18:25:00,2006,2,Winter,California,CA,West,WECC,Cold,Severe Weather,Winter Storm,2645.0,44.083333333333336,1 to 3 days,160000.0,4303.7,1
377,2006-03-12 20:30:00,2006,3,Spring,Illinois,IL,Central,RFC,Normal,Severe Weather,,2370.0,39.5,1 to 3 days,65400.0,2877.6,1
319,2006-04-02 21:00:00,2006,4,Spring,Indiana,IN,Central,RFC,Normal,Severe Weather,Tornadoes,4045.0,67.41666666666667,1 to 3 days,186000.0,1860.0,1
196,2006-04-17 15:25:00,2006,4,Spring,Texas,TX,South,TRE,Normal,System Operability Disruption,,245.0,4.083333333333333,Under 1 day,200000.0,2435.3,1
243,2006-04-17 16:10:00,2006,4,Spring,Texas,TX,South,TRE,Normal,System Operability Disruption,,121.0,2.0166666666666666,Under 1 day,68000.0,2435.3,1
180,2006-04-17 16:11:00,2006,4,Spring,Texas,TX,South,TRE,Normal,System Operability Disruption,,189.0,3.15,Under 1 day,489478.0,2435.3,1
270,2006-04-17 16:20:00,2006,4,Spring,Texas,TX,South,TRE,Normal,System Operability Disruption,Shed Load,130.0,2.1666666666666665,Under 1 day,9000.0,2435.3,1
238,2006-04-17 16:35:00,2006,4,Spring,Texas,TX,South,TRE,Normal,System Operability Disruption,,95.0,1.5833333333333333,Under 1 day,51404.0,2435.3,1
280,2006-04-21 07:00:00,2006,4,Spring,Texas,TX,South,TRE,Normal,Severe Weather,,900.0,15.0,Under 1 day,82000.0,2435.3,1
1129,2006-05-03 15:30:00,2006,5,Spring,California,CA,West,WECC,Normal,Severe Weather,Wildfire,365.0,6.083333333333333,Under 1 day,55655.0,4303.7,1
1078,2006-05-19 15:13:00,2006,5,Spring,California,CA,West,WECC,Normal,Severe Weather,Thunderstorm,437.0,7.283333333333333,Under 1 day,,4303.7,1
588,2006-06-01 18:00:00,2006,6,Summer,Pennsylvania,PA,Northeast,RFC,Normal,Severe Weather,,3060.0,51.0,1 to 3 days,111555.0,2123.4,1
549,2006-06-01 18:30:00,2006,6,Summer,Maryland,MD,Northeast,RFC,Normal,Severe Weather,Thunderstorm,2610.0,43.5,1 to 3 days,70000.0,2511.4,1
734,2006-06-11 18:00:00,2006,6,Summer,North Carolina,NC,Southeast,SERC,Normal,Severe Weather,Thunderstorm,180.0,3.0,Under 1 day,72000.0,1367.2,1
1339,2006-07-02 18:39:00,2006,7,Summer,Virginia,VA,Southeast,RFC,Normal,Severe Weather,Thunderstorm,1072.0,17.866666666666667,Under 1 day,75000.0,2265.2,1
1342,2006-07-04 17:30:00,2006,7,Summer,Virginia,VA,Southeast,RFC,Normal,Severe Weather,Thunderstorm,168.0,2.8,Under 1 day,67000.0,2265.2,1
155,2006-07-16 14:00:00,2006,7,Summer,Michigan,MI,East North Central,RFC,Normal,Severe Weather,Thunderstorm,7080.0,118.0,More than 3 days,315000.0,2034.1,1
988,2006-07-17 18:50:00,2006,7,Summer,New York,NY,Northeast,NPCC,Normal,Severe Weather,,11296.0,188.26666666666668,More than 3 days,25000.0,4161.4,1
389,2006-07-17 21:00:00,2006,7,Summer,Illinois,IL,Central,RFC,Normal,Severe Weather,Thunderstorm,1440.0,24.0,1 to 3 days,170519.0,2877.6,1
616,2006-07-18 18:36:00,2006,7,Summer,Pennsylvania,PA,Northeast,RFC,Normal,Severe Weather,Thunderstorm,7523.0,125.38333333333334,More than 3 days,492955.0,2123.4,1
1407,2006-07-18 20:07:00,2006,7,Summer,Connecticut,CT,Northeast,NPCC,Normal,Severe Weather,Thunderstorm,145.0,2.4166666666666665,Under 1 day,0.0,1721.9,1
1304,2006-07-19 11:00:00,2006,7,Summer,Arkansas,AR,South,SERC,Normal,Public Appeal,,414.0,6.9,Under 1 day,8000.0,1492.8,1
1143,2006-07-22 13:09:00,2006,7,Summer,California,CA,West,WECC,Normal,Severe Weather,Heatwave,7371.0,122.85,More than 3 days,1271893.0,4303.7,1
1083,2006-07-24 14:33:00,2006,7,Summer,California,CA,West,WECC,Normal,Severe Weather,Heatwave,180.0,3.0,Under 1 day,,4303.7,1
1203,2006-07-24 14:33:00,2006,7,Summer,California,CA,West,WECC,Normal,Severe Weather,Heatwave,180.0,3.0,Under 1 day,,4303.7,1
578,2006-07-27 18:38:00,2006,7,Summer,Pennsylvania,PA,Northeast,RFC,Normal,Severe Weather,Thunderstorm,3058.0,50.96666666666667,1 to 3 days,167564.0,2123.4,1
692,2006-08-01 12:00:00,2006,8,Summer,Ohio,OH,Central,RFC,Normal,Severe Weather,Heatwave,420.0,7.0,Under 1 day,,2033.7,1
1421,2006-08-07 13:00:00,2006,8,Summer,Oklahoma,OK,South,RFC,Normal,Public Appeal,,300.0,5.0,Under 1 day,,1901.7,1
752,2006-09-01 05:30:00,2006,9,Fall,North Carolina,NC,Southeast,SERC,Warm,Severe Weather,Hurricanes,990.0,16.5,Under 1 day,61000.0,1367.2,1
587,2006-09-01 15:00:00,2006,9,Fall,Pennsylvania,PA,Northeast,RFC,Warm,Severe Weather,Hurricanes,4800.0,80.0,More than 3 days,146094.0,2123.4,1
774,2006-09-01 20:00:00,2006,9,Fall,New Jersey,NJ,Northeast,RFC,Warm,Severe Weather,Hurricanes,4140.0,69.0,1 to 3 days,100000.0,2851.2,1
357,2006-10-02 14:00:00,2006,10,Fall,Illinois,IL,Central,RFC,Warm,Severe Weather,Thunderstorm,1680.0,28.0,1 to 3 days,471932.0,2877.6,1
1117,2006-10-02 15:05:00,2006,10,Fall,California,CA,West,WECC,Warm,System Operability Disruption,,334.0,5.566666666666666,Under 1 day,130000.0,4303.7,1
228,2006-10-03 17:28:00,2006,10,Fall,Texas,TX,South,TRE,Warm,System Operability Disruption,,271.0,4.516666666666667,Under 1 day,,2435.3,1
981,2006-10-12 17:48:00,2006,10,Fall,New York,NY,Northeast,NPCC,Warm,Severe Weather,Winter Storm,15492.0,258.2,More than 3 days,250000.0,4161.4,1
978,2006-10-12 20:00:00,2006,10,Fall,New York,NY,Northeast,NPCC,Warm,Severe Weather,Winter Storm,13140.0,219.0,More than 3 days,120000.0,4161.4,1
1505,2006-10-26 05:30:00,2006,10,Fall,Colorado,CO,Southwest,MRO,Warm,Severe Weather,Winter Storm,2140.0,35.666666666666664,1 to 3 days,65000.0,2836.1,1
222,2006-11-15 10:00:00,2006,11,Fall,Texas,TX,South,TRE,Warm,Severe Weather,Heavy Wind,600.0,10.0,Under 1 day,83000.0,2435.3,1
